
Begin Step 0, Time: 0.01, Redshift: 99, Nf = 0268435456, Systemstep: 0, Dloga: 0

Begin Step 1, Time: 0.0101815, Redshift: 97.2172, Nf = 0000138958, Systemstep: 0.000181517, Dloga: 0.0179889

Begin Step 2, Time: 0.0103663, Redshift: 95.4662, Nf = 0210725028, Systemstep: 0.000184812, Dloga: 0.0179889

Begin Step 3, Time: 0.0105545, Redshift: 93.7464, Nf = 0000140298, Systemstep: 0.000188167, Dloga: 0.0179889

Begin Step 4, Time: 0.0107461, Redshift: 92.0572, Nf = 0268435456, Systemstep: 0.000191582, Dloga: 0.0179889

Begin Step 5, Time: 0.0109411, Redshift: 90.3982, Nf = 0000473359, Systemstep: 0.00019506, Dloga: 0.0179889

Begin Step 6, Time: 0.0111397, Redshift: 88.7687, Nf = 0219995984, Systemstep: 0.0001986, Dloga: 0.0179889

Begin Step 7, Time: 0.0113419, Redshift: 87.1683, Nf = 0000476731, Systemstep: 0.000202205, Dloga: 0.0179889

Begin Step 8, Time: 0.0115478, Redshift: 85.5964, Nf = 0268435456, Systemstep: 0.000205876, Dloga: 0.0179889

Begin Step 9, Time: 0.0117574, Redshift: 84.0526, Nf = 0001296185, Systemstep: 0.000209613, Dloga: 0.0179889

Begin Step 10, Time: 0.0119709, Redshift: 82.5363, Nf = 0227906264, Systemstep: 0.000213418, Dloga: 0.0179889

Begin Step 11, Time: 0.0121881, Redshift: 81.047, Nf = 0001303252, Systemstep: 0.000217292, Dloga: 0.0179889

Begin Step 12, Time: 0.0124094, Redshift: 79.5842, Nf = 0268435456, Systemstep: 0.000221236, Dloga: 0.0179889

Begin Step 13, Time: 0.0126346, Redshift: 78.1476, Nf = 0002931009, Systemstep: 0.000225252, Dloga: 0.0179889

Begin Step 14, Time: 0.012864, Redshift: 76.7365, Nf = 0234646690, Systemstep: 0.00022934, Dloga: 0.0179889

Begin Step 15, Time: 0.0130975, Redshift: 75.3506, Nf = 0002944507, Systemstep: 0.000233503, Dloga: 0.0179889

Begin Step 16, Time: 0.0133352, Redshift: 73.9894, Nf = 0268435456, Systemstep: 0.000237742, Dloga: 0.0179889

Begin Step 17, Time: 0.0135773, Redshift: 72.6525, Nf = 0005917346, Systemstep: 0.000242057, Dloga: 0.0179889

Begin Step 18, Time: 0.0138237, Redshift: 71.3394, Nf = 0240345709, Systemstep: 0.000246451, Dloga: 0.0179889

